loan_id,customer_id,customer_name,credit_score,employment_status,branch_id,branch_name,city,region,loan_type,loan_amount,interest_rate,approval_date,loan_term_months,loan_status,loan_age_days,total_payments_made,on_time_payments,late_payments,missed_payments,on_time_pct,max_days_overdue,risk_level
66,166,Customer_166,766,Self-Employed,2,Midtown Plaza,New York,Northeast,Personal,5066,4.16,2022-03-08,36,Closed,1492.1,6,6,0,0,100.0,0.0,Low Risk
67,167,Customer_167,767,Self-Employed,3,Chicago Central,Chicago,Midwest,Home,5067,4.17,2022-03-09,360,Closed,1491.1,6,6,0,0,100.0,0.0,Low Risk
68,168,Customer_168,768,Retired,4,Texas Hub,Houston,South,Auto,5068,4.18,2022-03-10,60,Active,1490.1,6,6,0,0,100.0,0.0,Low Risk
69,169,Customer_169,769,Retired,5,Silicon Valley,San Jose,West,Personal,5069,4.19,2022-03-11,36,Active,1489.1,6,6,0,0,100.0,0.0,Low Risk
70,170,Customer_170,770,Unknown,6,West Coast Tower,Los Angeles,West,Home,5070,4.2,2022-03-12,360,Active,1488.1,6,0,0,0,0.0,0.0,High Risk
71,171,Customer_171,771,Employed,7,Miami Beach,Miami,South,Auto,5071,4.21,2022-03-13,60,Active,1487.1,6,6,0,0,100.0,0.0,Low Risk
72,172,Customer_172,772,Employed,8,Boston Financial,Boston,Northeast,Personal,5072,4.22,2022-03-14,36,Active,1486.1,6,6,0,0,100.0,0.0,Low Risk
73,173,Customer_173,773,Employed,1,Downtown Metro,New York,Northeast,Home,5073,4.23,2022-03-15,360,Active,1485.1,6,6,0,0,100.0,0.0,Low Risk
74,174,Customer_174,774,Employed,2,Midtown Plaza,New York,Northeast,Auto,5074,4.24,2022-03-16,60,Active,1484.1,6,6,0,0,100.0,0.0,Low Risk
75,-1,Unknown,0,Unknown,3,Chicago Central,Chicago,Midwest,Personal,5075,4.25,2022-03-17,36,Active,1483.1,6,6,0,0,100.0,0.0,Medium Risk
76,176,Customer_176,776,Self-Employed,4,Texas Hub,Houston,South,Home,5076,4.26,2022-03-18,360,Active,1482.1,6,6,0,0,100.0,0.0,Low Risk
77,177,Customer_177,777,Self-Employed,5,Silicon Valley,San Jose,West,Auto,5077,4.27,2022-03-19,60,Active,1481.1,6,6,0,0,100.0,0.0,Low Risk
78,178,Customer_178,778,Retired,6,West Coast Tower,Los Angeles,West,Personal,5078,4.28,2022-03-20,36,Active,1480.1,6,6,0,0,100.0,0.0,Low Risk
79,179,Customer_179,779,Retired,7,Miami Beach,Miami,South,Home,5079,4.29,2022-03-21,360,Active,1479.1,6,6,0,0,100.0,0.0,Low Risk
80,180,Customer_180,780,Unknown,8,Boston Financial,Boston,Northeast,Auto,5080,4.3,2022-03-22,60,Defaulted,1478.1,6,0,0,0,0.0,0.0,High Risk
81,181,Customer_181,781,Employed,1,Downtown Metro,New York,Northeast,Personal,5081,4.3100000000000005,2022-03-23,36,Closed,1477.1,6,6,0,0,100.0,0.0,Low Risk
82,182,Customer_182,782,Employed,2,Midtown Plaza,New York,Northeast,Home,5082,4.32,2022-03-24,360,Closed,1476.1,6,6,0,0,100.0,0.0,Low Risk
83,183,Customer_183,783,Employed,3,Chicago Central,Chicago,Midwest,Auto,5083,4.33,2022-03-25,60,Closed,1475.1,6,6,0,0,100.0,0.0,Low Risk
84,184,Customer_184,784,Employed,4,Texas Hub,Houston,South,Personal,5084,4.34,2022-03-26,36,Closed,1474.1,6,6,0,0,100.0,0.0,Low Risk
85,185,Customer_185,785,Self-Employed,5,Silicon Valley,San Jose,West,Home,5085,4.35,2022-03-27,360,Closed,1473.1,6,6,0,0,100.0,0.0,Low Risk
86,186,Customer_186,786,Self-Employed,6,West Coast Tower,Los Angeles,West,Auto,5086,4.36,2022-03-28,60,Closed,1472.1,6,6,0,0,100.0,0.0,Low Risk
87,187,Customer_187,787,Self-Employed,7,Miami Beach,Miami,South,Personal,5087,4.37,2022-03-29,36,Closed,1471.1,6,6,0,0,100.0,0.0,Low Risk
88,188,Customer_188,788,Retired,8,Boston Financial,Boston,Northeast,Home,5088,4.38,2022-03-30,360,Active,1470.1,6,6,0,0,100.0,0.0,Low Risk
89,189,Customer_189,789,Retired,1,Downtown Metro,New York,Northeast,Auto,5089,4.39,2022-03-31,60,Active,1469.1,6,6,0,0,100.0,0.0,Low Risk
90,-1,Unknown,0,Unknown,2,Midtown Plaza,New York,Northeast,Personal,5090,4.4,2022-04-01,36,Active,1468.1,6,0,0,0,0.0,0.0,High Risk
91,191,Customer_191,791,Employed,3,Chicago Central,Chicago,Midwest,Home,5091,4.41,2022-04-02,360,Active,1467.1,6,6,0,0,100.0,0.0,Low Risk
92,192,Customer_192,792,Employed,4,Texas Hub,Houston,South,Auto,5092,4.42,2022-04-03,60,Active,1466.1,6,6,0,0,100.0,0.0,Low Risk
93,193,Customer_193,793,Employed,5,Silicon Valley,San Jose,West,Personal,5093,4.43,2022-04-04,36,Active,1465.1,6,6,0,0,100.0,0.0,Low Risk
94,194,Customer_194,794,Employed,6,West Coast Tower,Los Angeles,West,Home,5094,4.44,2022-04-05,360,Active,1464.1,6,6,0,0,100.0,0.0,Low Risk
95,195,Customer_195,795,Self-Employed,7,Miami Beach,Miami,South,Auto,5095,4.45,2022-04-06,60,Active,1463.1,6,6,0,0,100.0,0.0,Low Risk
96,196,Customer_196,796,Self-Employed,8,Boston Financial,Boston,Northeast,Personal,5096,4.46,2022-04-07,36,Active,1462.1,6,6,0,0,100.0,0.0,Low Risk
97,197,Customer_197,797,Self-Employed,1,Downtown Metro,New York,Northeast,Home,5097,4.47,2022-04-08,360,Active,1461.1,6,6,0,0,100.0,0.0,Low Risk
98,198,Customer_198,798,Retired,2,Midtown Plaza,New York,Northeast,Auto,5098,4.48,2022-04-09,60,Active,1460.1,6,6,0,0,100.0,0.0,Low Risk
99,199,Customer_199,799,Retired,3,Chicago Central,Chicago,Midwest,Personal,5099,4.49,2022-04-10,36,Active,1459.1,6,6,0,0,100.0,0.0,Low Risk
100,200,Customer_200,800,Unknown,4,Texas Hub,Houston,South,Home,5100,4.5,2022-04-11,360,Defaulted,1458.1,6,0,0,0,0.0,0.0,High Risk
101,201,Customer_201,801,Employed,5,Silicon Valley,San Jose,West,Auto,5101,4.51,2022-04-12,60,Closed,1457.1,6,0,0,6,0.0,0.0,High Risk
102,202,Customer_202,802,Employed,6,West Coast Tower,Los Angeles,West,Personal,5102,4.52,2022-04-13,36,Closed,1456.1,6,0,0,6,0.0,0.0,High Risk
103,203,Customer_203,803,Employed,7,Miami Beach,Miami,South,Home,5103,4.53,2022-04-14,360,Closed,1455.1,6,0,6,0,0.0,1528.1,High Risk
104,204,Customer_204,804,Employed,8,Boston Financial,Boston,Northeast,Auto,5104,4.54,2022-04-15,60,Closed,1454.1,6,0,6,0,0.0,1528.1,High Risk
105,-1,Unknown,0,Unknown,1,Downtown Metro,New York,Northeast,Personal,5105,4.55,2022-04-16,36,Closed,1453.1,6,0,6,0,0.0,1528.1,High Risk
106,206,Customer_206,806,Self-Employed,2,Midtown Plaza,New York,Northeast,Home,5106,4.5600000000000005,2022-04-17,360,Closed,1452.1,6,0,6,0,0.0,1528.1,High Risk
107,207,Customer_207,807,Self-Employed,3,Chicago Central,Chicago,Midwest,Auto,5107,4.57,2022-04-18,60,Closed,1451.1,6,0,6,0,0.0,1528.1,High Risk
108,208,Customer_208,808,Retired,4,Texas Hub,Houston,South,Personal,5108,4.58,2022-04-19,36,Active,1450.1,6,6,0,0,100.0,0.0,Low Risk
109,209,Customer_209,809,Retired,5,Silicon Valley,San Jose,West,Home,5109,4.59,2022-04-20,360,Active,1449.1,6,6,0,0,100.0,0.0,Low Risk
110,210,Customer_210,810,Unknown,6,West Coast Tower,Los Angeles,West,Auto,5110,4.6,2022-04-21,60,Active,1448.1,6,0,0,0,0.0,0.0,High Risk
111,211,Customer_211,811,Employed,7,Miami Beach,Miami,South,Personal,5111,4.61,2022-04-22,36,Active,1447.1,6,6,0,0,100.0,0.0,Low Risk
112,212,Customer_212,812,Employed,8,Boston Financial,Boston,Northeast,Home,5112,4.62,2022-04-23,360,Active,1446.1,6,6,0,0,100.0,0.0,Low Risk
113,213,Customer_213,813,Employed,1,Downtown Metro,New York,Northeast,Auto,5113,4.63,2022-04-24,60,Active,1445.1,6,6,0,0,100.0,0.0,Low Risk
114,214,Customer_214,814,Employed,2,Midtown Plaza,New York,Northeast,Personal,5114,4.640000000000001,2022-04-25,36,Active,1444.1,6,6,0,0,100.0,0.0,Low Risk
115,215,Customer_215,815,Self-Employed,3,Chicago Central,Chicago,Midwest,Home,5115,4.65,2022-04-26,360,Active,1443.1,6,6,0,0,100.0,0.0,Low Risk
116,216,Customer_216,816,Self-Employed,4,Texas Hub,Houston,South,Auto,5116,4.66,2022-04-27,60,Active,1442.1,6,6,0,0,100.0,0.0,Low Risk
117,217,Customer_217,817,Self-Employed,5,Silicon Valley,San Jose,West,Personal,5117,4.67,2022-04-28,36,Active,1441.1,6,6,0,0,100.0,0.0,Low Risk
118,218,Customer_218,818,Retired,6,West Coast Tower,Los Angeles,West,Home,5118,4.68,2022-04-29,360,Active,1440.1,6,6,0,0,100.0,0.0,Low Risk
119,219,Customer_219,819,Retired,7,Miami Beach,Miami,South,Auto,5119,4.6899999999999995,2022-04-30,60,Active,1439.1,6,6,0,0,100.0,0.0,Low Risk
120,-1,Unknown,0,Unknown,8,Boston Financial,Boston,Northeast,Personal,5120,4.7,2022-05-01,36,Defaulted,1438.1,6,0,0,0,0.0,0.0,High Risk
121,221,Customer_221,821,Employed,1,Downtown Metro,New York,Northeast,Home,5121,4.71,2022-05-02,360,Closed,1437.1,6,6,0,0,100.0,0.0,Low Risk
122,222,Customer_222,822,Employed,2,Midtown Plaza,New York,Northeast,Auto,5122,4.72,2022-05-03,60,Closed,1436.1,6,6,0,0,100.0,0.0,Low Risk
123,223,Customer_223,823,Employed,3,Chicago Central,Chicago,Midwest,Personal,5123,4.73,2022-05-04,36,Closed,1435.1,6,6,0,0,100.0,0.0,Low Risk
124,224,Customer_224,824,Employed,4,Texas Hub,Houston,South,Home,5124,4.74,2022-05-05,360,Closed,1434.1,6,6,0,0,100.0,0.0,Low Risk
125,225,Customer_225,825,Self-Employed,5,Silicon Valley,San Jose,West,Auto,5125,4.75,2022-05-06,60,Closed,1433.1,6,6,0,0,100.0,0.0,Low Risk
126,226,Customer_226,826,Self-Employed,6,West Coast Tower,Los Angeles,West,Personal,5126,4.76,2022-05-07,36,Closed,1432.1,6,6,0,0,100.0,0.0,Low Risk
127,227,Customer_227,827,Self-Employed,7,Miami Beach,Miami,South,Home,5127,4.77,2022-05-08,360,Closed,1431.1,6,6,0,0,100.0,0.0,Low Risk
128,228,Customer_228,828,Retired,8,Boston Financial,Boston,Northeast,Auto,5128,4.78,2022-05-09,60,Active,1430.1,6,6,0,0,100.0,0.0,Low Risk
129,229,Customer_229,829,Retired,1,Downtown Metro,New York,Northeast,Personal,5129,4.79,2022-05-10,36,Active,1429.1,6,6,0,0,100.0,0.0,Low Risk
130,230,Customer_230,830,Unknown,2,Midtown Plaza,New York,Northeast,Home,5130,4.8,2022-05-11,360,Active,1428.1,6,0,0,0,0.0,0.0,High Risk
131,231,Customer_231,831,Employed,3,Chicago Central,Chicago,Midwest,Auto,5131,4.8100000000000005,2022-05-12,60,Active,1427.1,6,6,0,0,100.0,0.0,Low Risk
132,232,Customer_232,832,Employed,4,Texas Hub,Houston,South,Personal,5132,4.82,2022-05-13,36,Active,1426.1,6,6,0,0,100.0,0.0,Low Risk
133,233,Customer_233,833,Employed,5,Silicon Valley,San Jose,West,Home,5133,4.83,2022-05-14,360,Active,1425.1,6,6,0,0,100.0,0.0,Low Risk
134,234,Customer_234,834,Employed,6,West Coast Tower,Los Angeles,West,Auto,5134,4.84,2022-05-15,60,Active,1424.1,6,6,0,0,100.0,0.0,Low Risk
135,-1,Unknown,0,Unknown,7,Miami Beach,Miami,South,Personal,5135,4.85,2022-05-16,36,Active,1423.1,6,6,0,0,100.0,0.0,Medium Risk
136,236,Customer_236,836,Self-Employed,8,Boston Financial,Boston,Northeast,Home,5136,4.86,2022-05-17,360,Active,1422.1,6,6,0,0,100.0,0.0,Low Risk
137,237,Customer_237,837,Self-Employed,1,Downtown Metro,New York,Northeast,Auto,5137,4.87,2022-05-18,60,Active,1421.1,6,6,0,0,100.0,0.0,Low Risk
138,238,Customer_238,838,Retired,2,Midtown Plaza,New York,Northeast,Personal,5138,4.88,2022-05-19,36,Active,1420.1,6,6,0,0,100.0,0.0,Low Risk
139,239,Customer_239,839,Retired,3,Chicago Central,Chicago,Midwest,Home,5139,4.890000000000001,2022-05-20,360,Active,1419.1,6,6,0,0,100.0,0.0,Low Risk
140,240,Customer_240,840,Unknown,4,Texas Hub,Houston,South,Auto,5140,4.9,2022-05-21,60,Defaulted,1418.1,6,0,0,0,0.0,0.0,High Risk
141,241,Customer_241,841,Employed,5,Silicon Valley,San Jose,West,Personal,5141,4.91,2022-05-22,36,Closed,1417.1,6,6,0,0,100.0,0.0,Low Risk
142,242,Customer_242,842,Employed,6,West Coast Tower,Los Angeles,West,Home,5142,4.92,2022-05-23,360,Closed,1416.1,6,6,0,0,100.0,0.0,Low Risk
143,243,Customer_243,843,Employed,7,Miami Beach,Miami,South,Auto,5143,4.93,2022-05-24,60,Closed,1415.1,6,6,0,0,100.0,0.0,Low Risk
144,244,Customer_244,844,Employed,8,Boston Financial,Boston,Northeast,Personal,5144,4.9399999999999995,2022-05-25,36,Closed,1414.1,6,6,0,0,100.0,0.0,Low Risk
145,245,Customer_245,845,Self-Employed,1,Downtown Metro,New York,Northeast,Home,5145,4.95,2022-05-26,360,Closed,1413.1,6,6,0,0,100.0,0.0,Low Risk
146,246,Customer_246,846,Self-Employed,2,Midtown Plaza,New York,Northeast,Auto,5146,4.96,2022-05-27,60,Closed,1412.1,6,6,0,0,100.0,0.0,Low Risk
147,247,Customer_247,847,Self-Employed,3,Chicago Central,Chicago,Midwest,Personal,5147,4.97,2022-05-28,36,Closed,1411.1,6,6,0,0,100.0,0.0,Low Risk
148,248,Customer_248,848,Retired,4,Texas Hub,Houston,South,Home,5148,4.98,2022-05-29,360,Active,1410.1,6,6,0,0,100.0,0.0,Low Risk
149,249,Customer_249,849,Retired,5,Silicon Valley,San Jose,West,Auto,5149,4.99,2022-05-30,60,Active,1409.1,6,6,0,0,100.0,0.0,Low Risk
150,-1,Unknown,0,Unknown,6,West Coast Tower,Los Angeles,West,Personal,5150,5,2022-05-31,36,Active,1408.1,6,0,0,0,0.0,0.0,High Risk
151,251,Customer_251,851,Employed,7,Miami Beach,Miami,South,Home,5151,5.01,2022-06-01,360,Active,1407.1,6,0,0,6,0.0,0.0,High Risk
152,252,Customer_252,852,Employed,8,Boston Financial,Boston,Northeast,Auto,5152,5.02,2022-06-02,60,Active,1406.1,6,0,0,6,0.0,0.0,High Risk
153,253,Customer_253,853,Employed,1,Downtown Metro,New York,Northeast,Personal,5153,5.03,2022-06-03,36,Active,1405.1,6,0,6,0,0.0,1528.1,High Risk
154,254,Customer_254,854,Employed,2,Midtown Plaza,New York,Northeast,Home,5154,5.04,2022-06-04,360,Active,1404.1,6,0,6,0,0.0,1528.1,High Risk
155,255,Customer_255,855,Self-Employed,3,Chicago Central,Chicago,Midwest,Auto,5155,5.05,2022-06-05,60,Active,1403.1,6,0,6,0,0.0,1528.1,High Risk
156,256,Customer_256,856,Self-Employed,4,Texas Hub,Houston,South,Personal,5156,5.0600000000000005,2022-06-06,36,Active,1402.1,6,0,6,0,0.0,1528.1,High Risk
157,257,Customer_257,857,Self-Employed,5,Silicon Valley,San Jose,West,Home,5157,5.07,2022-06-07,360,Active,1401.1,6,0,6,0,0.0,1528.1,High Risk
158,258,Customer_258,858,Retired,6,West Coast Tower,Los Angeles,West,Auto,5158,5.08,2022-06-08,60,Active,1400.1,6,6,0,0,100.0,0.0,Low Risk
159,259,Customer_259,859,Retired,7,Miami Beach,Miami,South,Personal,5159,5.09,2022-06-09,36,Active,1399.1,6,6,0,0,100.0,0.0,Low Risk
160,260,Customer_260,860,Unknown,8,Boston Financial,Boston,Northeast,Home,5160,5.1,2022-06-10,360,Defaulted,1398.1,6,0,0,0,0.0,0.0,High Risk
161,261,Customer_261,861,Employed,1,Downtown Metro,New York,Northeast,Auto,5161,5.11,2022-06-11,60,Closed,1397.1,6,6,0,0,100.0,0.0,Low Risk
